Timestamp,¿Has escuchado el término fast fashion?,¿Asocias a Zara con fast fashion?,¿Qué factor influye más en su decisión de compra de ropa?,¿Dónde suele comprar en Zara?,"En una escala de 1 a 5, ¿qué tan importante es para usted la sostenibilidad al comprar ropa? ","Si Zara ofreciera ropa más sostenible con un precio ligeramente mayor, ¿la compraría? ",¿Qué información le gustaría encontrar en la web de Zara para decidir de forma más sostenible?,¿En qué aspecto debería enfocarse más Zara en el futuro? ,¿En qué rango de edad se encuentra? ,¿Cuál es su género? 
02/10/2025 16:16:27,Sí,Sí,Precio,No compro en Zara,,,"Origen de materiales, Huella de carbono por prenda",Mantener precios accesibles,Menos de 18,Prefiero no decirlo
02/10/2025 16:19:01,Sí,Sí,Diseño/estilo,Tienda física,1,Tal vez,Origen de materiales,Fortalecer el canal online,18–25,Femenino
02/10/2025 16:21:56,Sí,No,Diseño/estilo,Ambas,2,Tal vez,Huella de carbono por prenda,Mantener precios accesibles,18–25,Femenino
02/10/2025 16:27:44,No,Sí,Diseño/estilo,Online (web/app),1,No,Opciones de reciclaje/devolución,Mantener precios accesibles,55 o más,Femenino
02/10/2025 16:27:56,No,No estoy seguro/a,Diseño/estilo,Tienda física,1,No,Condiciones laborales,Innovar en diseño,45–54,Masculino
02/10/2025 16:28:13,No,No,Diseño/estilo,No compro en Zara,4,No,"Origen de materiales, Opciones de reciclaje/devolución",Mantener precios accesibles,18–25,Masculino
02/10/2025 16:28:48,Sí,No,Precio,Tienda física,2,No,Opciones de reciclaje/devolución,Mejorar la calidad,18–25,Femenino
02/10/2025 16:29:46,No,No estoy seguro/a,Diseño/estilo,Tienda física,3,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,45–54,Femenino
02/10/2025 16:30:32,Sí,No,Precio,Tienda física,3,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
02/10/2025 16:31:17,Sí,Sí,Sostenibilidad/ética,No compro en Zara,5,Tal vez,"Huella de carbono por prenda, Condiciones laborales",Ofrecer ropa más sostenible,18–25,Femenino
02/10/2025 16:32:45,Sí,Sí,Diseño/estilo,Ambas,3,Tal vez,"Origen de materiales, Opciones de reciclaje/devolución",Ofrecer ropa más sostenible,18–25,Masculino
02/10/2025 16:33:03,No,No estoy seguro/a,Diseño/estilo,No compro en Zara,,,,,18–25,Masculino
02/10/2025 16:33:03,Sí,Sí,Precio,Tienda física,5,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
02/10/2025 16:33:54,Sí,Sí,Diseño/estilo,Ambas,3,No,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales, Opciones de reciclaje/devolución",Mantener precios accesibles,18–25,Femenino
02/10/2025 16:35:53,Sí,Sí,Precio,Ambas,1,No,Opciones de reciclaje/devolución,Mejorar la calidad,45–54,Femenino
02/10/2025 16:36:50,Sí,Sí,Calidad/durabilidad,No compro en Zara,,,,,45–54,Masculino
02/10/2025 16:37:01,Sí,Sí,Precio,Tienda física,4,Tal vez,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Ofrecer ropa más sostenible,18–25,Femenino
02/10/2025 16:38:00,Sí,Sí,Diseño/estilo,No compro en Zara,,,,,45–54,Femenino
02/10/2025 16:38:43,Sí,No estoy seguro/a,Diseño/estilo,Ambas,3,No,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Mantener precios accesibles,18–25,Femenino
02/10/2025 16:41:30,Sí,Sí,Diseño/estilo,No compro en Zara,,,,,18–25,Femenino
02/10/2025 16:41:42,Sí,Sí,Diseño/estilo,Tienda física,3,Tal vez,Opciones de reciclaje/devolución,Mejorar la calidad,45–54,Femenino
02/10/2025 16:41:56,Sí,No,Calidad/durabilidad,Tienda física,2,No,Huella de carbono por prenda,Mantener precios accesibles,45–54,Femenino
02/10/2025 16:42:04,Sí,Sí,Precio,Ambas,3,No,Condiciones laborales,Mantener precios accesibles,18–25,Femenino
02/10/2025 16:42:09,Sí,Sí,Precio,Tienda física,5,Sí,Condiciones laborales,Mantener precios accesibles,18–25,Femenino
02/10/2025 16:44:31,Sí,Sí,Calidad/durabilidad,Tienda física,2,Tal vez,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Mantener precios accesibles,55 o más,Femenino
02/10/2025 16:45:03,No,No,Diseño/estilo,Ambas,3,Tal vez,"Condiciones laborales, Opciones de reciclaje/devolución",Fortalecer el canal online,45–54,Femenino
02/10/2025 16:48:03,No,No,Precio,Tienda física,2,No,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Mejorar la calidad,45–54,Femenino
02/10/2025 16:49:58,Sí,No,Diseño/estilo,Tienda física,4,Tal vez,Origen de materiales,Mantener precios accesibles,18–25,Masculino
02/10/2025 16:50:05,Sí,Sí,Precio,Tienda física,3,No,Condiciones laborales,Mantener precios accesibles,25–34,Femenino
02/10/2025 16:51:35,Sí,Sí,Diseño/estilo,Tienda física,3,Tal vez,"Huella de carbono por prenda, Condiciones laborales",Mantener precios accesibles,18–25,Femenino
02/10/2025 16:52:27,No,No estoy seguro/a,Diseño/estilo,No compro en Zara,,,,,18–25,Femenino
02/10/2025 16:53:28,Sí,Sí,Diseño/estilo,Tienda física,3,No,Huella de carbono por prenda,Ofrecer ropa más sostenible,18–25,Femenino
02/10/2025 16:53:58,Sí,No estoy seguro/a,Diseño/estilo,Ambas,3,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,45–54,Femenino
02/10/2025 16:55:48,No,No,Diseño/estilo,No compro en Zara,,,,,45–54,Masculino
02/10/2025 16:55:53,Sí,Sí,Diseño/estilo,Tienda física,3,Tal vez,"Origen de materiales, Condiciones laborales, Opciones de reciclaje/devolución",Mejorar la calidad,18–25,Femenino
02/10/2025 16:56:10,Sí,Sí,Diseño/estilo,Tienda física,3,Tal vez,Origen de materiales,Ofrecer ropa más sostenible,35–44,Femenino
02/10/2025 16:56:23,No,No estoy seguro/a,Precio,Ambas,4,Tal vez,"Origen de materiales, Opciones de reciclaje/devolución",Mantener precios accesibles,18–25,Femenino
02/10/2025 17:04:11,Sí,Sí,Precio,Tienda física,2,Tal vez,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales, Opciones de reciclaje/devolución",Mejorar la calidad,18–25,Femenino
02/10/2025 17:06:30,Sí,No estoy seguro/a,Calidad/durabilidad,No compro en Zara,,,,,18–25,Masculino
02/10/2025 17:08:10,No,No estoy seguro/a,Calidad/durabilidad,Tienda física,2,No,Origen de materiales,Mejorar la calidad,35–44,Masculino
02/10/2025 17:10:08,No,No estoy seguro/a,Diseño/estilo,Tienda física,3,Sí,Opciones de reciclaje/devolución,Ofrecer ropa más sostenible,45–54,Femenino
02/10/2025 17:11:58,Sí,Sí,Calidad/durabilidad,Tienda física,3,No,Huella de carbono por prenda,Mejorar la calidad,25–34,Femenino
02/10/2025 17:12:17,Sí,Sí,Calidad/durabilidad,No compro en Zara,,,,,55 o más,Masculino
